G1G1K-1919-MONOMER	G1G1K-1919	C3K712	DNA ligase-associated DEXH box helicase	
G1G1K-8619-MONOMER	G1G1K-8619	C3K314	polyamine ABC transporter permease	
G1G1K-5817-MONOMER	G1G1K-5817		camphor resistance protein CrcB	
G1G1K-3162-MONOMER	G1G1K-3162	C3K5S2	type IV secretion protein Rhs	
G1G1K-6712-MONOMER	G1G1K-6712	C3K0F0	hypothetical protein	
G1G1K-3064-MONOMER	G1G1K-3064		nucleotide pyrophosphatase	
G1G1K-7128-MONOMER	G1G1K-7128		ribonuclease E inhibitor RraB	
G1G1K-167-MONOMER	G1G1K-167	C3K7Z5	chemotaxis protein	
G1G1K-4647-MONOMER	G1G1K-4647	C3KB67	hypothetical protein	
G1G1K-3511-MONOMER	G1G1K-3511	C3K8E7	transcriptional regulator	
G1G1K-5171-MONOMER	G1G1K-5171	C3KD34	EamA/RhaT family transporter	
G1G1K-5494-MONOMER	G1G1K-5494		error-prone DNA polymerase	
G1G1K-9430-MONOMER	G1G1K-9430		phosphate-binding protein	
G1G1K-6363-MONOMER	G1G1K-6363		translation initiation factor IF-3	
G1G1K-7510-MONOMER	G1G1K-7510	C3JYR3	glycine cleavage system aminomethyltransferase T	GcvT
G1G1K-8081-MONOMER	G1G1K-8081		ATPase	
G1G1K-5443-MONOMER	G1G1K-5443		membrane protein	
G1G1K-8987-MONOMER	G1G1K-8987		radical SAM protein	
G1G1K-1331-MONOMER	G1G1K-1331		cupin	
G1G1K-4590-MONOMER	G1G1K-4590	C3KB25	histidine kinase	
G1G1K-8292-MONOMER	G1G1K-8292		3-dehydroquinate dehydratase	AroQ
G1G1K-8558-MONOMER	G1G1K-8558		30S ribosomal protein S10	
G1G1K-4948-MONOMER	G1G1K-4948	C3KCW7	type II secretion system protein GspH	GspH
G1G1K-5518-MONOMER	G1G1K-5518	C3JXJ6	transporter	
G1G1K-538-MONOMER	G1G1K-538		prolyl aminopeptidase	Pip
G1G1K-1995-MONOMER	G1G1K-1995		IclR family transcriptional regulator	
G1G1K-4260-MONOMER	G1G1K-4260		aminopeptidase N	PepN
G1G1K-4716-MONOMER	G1G1K-4716	C3KAC2	acyl-CoA dehydrogenase	
G1G1K-4315-MONOMER	G1G1K-4315		DNA-binding response regulator	
G1G1K-1442-MONOMER	G1G1K-1442		alginate biosynthesis protein Alg44	
G1G1K-7129-MONOMER	G1G1K-7129		hypothetical protein	
G1G1K-6713-MONOMER	G1G1K-6713	C3K0F1	non-ribosomal peptide synthetase	PvsA
G1G1K-9226-MONOMER	G1G1K-9226		fimbrial protein	
G1G1K-2450-MONOMER	G1G1K-2450		histidinol-phosphate transaminase	
G1G1K-168-MONOMER	G1G1K-168	C3K7Z6	SRPBCC family protein	
G1G1K-2406-MONOMER	G1G1K-2406	C3K5J6	adenylate cyclase	
G1G1K-8082-MONOMER	G1G1K-8082		sigma-54-dependent Fis family transcriptional regulator	
G1G1K-1262-MONOMER	G1G1K-1262		hypothetical protein	
G1G1K-1146-MONOMER	G1G1K-1146	C3KE83	outer membrane protein assembly factor BamD	
G1G1K-8845-MONOMER	G1G1K-8845	C3K3D6	alpha/beta hydrolase	
G1G1K-6159-MONOMER	G1G1K-6159		hypothetical protein	
G1G1K-3843-MONOMER	G1G1K-3843		PIN domain nuclease	
G1G1K-1875-MONOMER	G1G1K-1875		acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase	
G1G1K-6364-MONOMER	G1G1K-6364	C3JZN7	threonine--tRNA ligase	
G1G1K-9110-MONOMER	G1G1K-9110		hypothetical protein	
G1G1K-9433-MONOMER	G1G1K-9433	C3K4D6	MFS transporter	
G1G1K-2075-MONOMER	G1G1K-2075	C3KCV9	LysR family transcriptional regulator	
G1G1K-7513-MONOMER	G1G1K-7513		cold-shock protein	
G1G1K-539-MONOMER	G1G1K-539	C3K814	D-tyrosyl-tRNA(Tyr) deacylase	
G1G1K-5062-MONOMER	G1G1K-5062		hypothetical protein	
G1G1K-1518-MONOMER	G1G1K-1518		NrdH-redoxin	
G1G1K-8620-MONOMER	G1G1K-8620		polyamine ABC transporter substrate-binding protein	
G1G1K-1560-MONOMER	G1G1K-1560		peptidase inhibitor	
G1G1K-7130-MONOMER	G1G1K-7130	C3K0J8	hypothetical protein	
G1G1K-6160-MONOMER	G1G1K-6160	C3JYZ3	gluconolactonase	
G1G1K-2881-MONOMER	G1G1K-2881	C3K886	cytochrome-c oxidase	
G1G1K-169-MONOMER	G1G1K-169	C3K7Z7	peptide transporter	
G1G1K-3915-MONOMER	G1G1K-3915		hypothetical protein	
G1G1K-5970-MONOMER	G1G1K-5970	C3JYH3	fimbriae-assembly chaperone	
G1G1K-1631-MONOMER	G1G1K-1631		N-acetyltransferase	
G1G1K-8988-MONOMER	G1G1K-8988	C3K3L5	membrane protein	
G1G1K-2711-MONOMER	G1G1K-2711		beta-1,6-glucan synthase	
G1G1K-6365-MONOMER	G1G1K-6365		hypothetical protein	
G1G1K-6714-MONOMER	G1G1K-6714	C3K0F2	thioesterase	
G1G1K-5448-MONOMER	G1G1K-5448	C3K7X0	5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase	
G1G1K-9537-MONOMER	G1G1K-9537		XRE family transcriptional regulator	
G1G1K-1614-MONOMER	G1G1K-1614	C3K856	amino acid permease	
G1G1K-3890-MONOMER	G1G1K-3890		hypothetical protein	
G1G1K-5519-MONOMER	G1G1K-5519	C3JXJ7	hypothetical protein	
G1G1K-9434-MONOMER	G1G1K-9434		acyl-CoA thioesterase	
G1G1K-4439-MONOMER	G1G1K-4439	C3K9X7	6-hydroxynicotinate 3-monooxygenase	
G1G1K-3415-MONOMER	G1G1K-3415	C3KAQ3	GABA permease	GabP
G1G1K-7514-MONOMER	G1G1K-7514		RDD family protein	
G1G1K-540-MONOMER	G1G1K-540		glucan biosynthesis protein G	
G1G1K-2620-MONOMER	G1G1K-2620	C3K7L4	molybdenum cofactor guanylyltransferase	
G1G1K-6075-MONOMER	G1G1K-6075	C3JYM6	multidrug transporter EmrA	
G1G1K-8412-MONOMER	G1G1K-8412		nicotinate-nicotinamide nucleotide adenylyltransferase	
G1G1K-2766-MONOMER	G1G1K-2766	C3K752	alpha/beta hydrolase	
G1G1K-915-MONOMER	G1G1K-915	C3K6E0	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/inosine monophosphate cyclohydrolase	
G1G1K-1950-MONOMER	G1G1K-1950	C3K863	pyridoxine/pyridoxamine 5'-phosphate oxidase	PdxH
G1G1K-5265-MONOMER	G1G1K-5265	C3KCF8	MAPEG family protein	
G1G1K-8085-MONOMER	G1G1K-8085		hypothetical protein	
G1G1K-7131-MONOMER	G1G1K-7131		zinc/iron-chelating domain-containing protein	
G1G1K-170-MONOMER	G1G1K-170	C3K7Z8	hypothetical protein	
G1G1K-8293-MONOMER	G1G1K-8293	C3K2G7	shikimate dehydrogenase	
G1G1K-6366-MONOMER	G1G1K-6366		cold-shock protein	
G1G1K-3163-MONOMER	G1G1K-3163	C3K5S3	hypothetical protein	
G1G1K-4261-MONOMER	G1G1K-4261	C3K9T8	transcriptional regulator	
G1G1K-4863-MONOMER	G1G1K-4863		hypothetical protein	
G1G1K-5909-MONOMER	G1G1K-5909	C3JYC9	Na+/H+ antiporter subunit E	
G1G1K-6367-MONOMER	G1G1K-6367		hypothetical protein	
G1G1K-6028-MONOMER	G1G1K-6028		bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	
G1G1K-2124-MONOMER	G1G1K-2124		succinate dehydrogenase assembly factor 2 family protein	
G1G1K-6161-MONOMER	G1G1K-6161	C3JYZ4	hypothetical protein	
G1G1K-9227-MONOMER	G1G1K-9227		hypothetical protein	
G1G1K-8491-MONOMER	G1G1K-8491	C3K2T0	ABC transporter permease	
G1G1K-5708-MONOMER	G1G1K-5708		hypothetical protein	
G1G1K-3069-MONOMER	G1G1K-3069		ABC transporter substrate-binding protein	
G1G1K-4496-MONOMER	G1G1K-4496	C3KA18	hypothetical protein	
G1G1K-6715-MONOMER	G1G1K-6715		RNA polymerase factor sigma-70	
G1G1K-916-MONOMER	G1G1K-916		Fis family transcriptional regulator	
G1G1K-541-MONOMER	G1G1K-541	C3K816	glucan biosynthesis protein H	
G1G1K-2476-MONOMER	G1G1K-2476	C3K730	ketoacyl-ACP synthase III	
G1G1K-7132-MONOMER	G1G1K-7132		hypothetical protein	
G1G1K-4648-MONOMER	G1G1K-4648		hypothetical protein	
G1G1K-171-MONOMER	G1G1K-171	C3K7Z9	hypothetical protein	
G1G1K-3967-MONOMER	G1G1K-3967		N(5)-hydroxyornithine transformylase PvdF	
G1G1K-3269-MONOMER	G1G1K-3269	C3K795	hypothetical protein	
G1G1K-4909-MONOMER	G1G1K-4909		3-oxoacyl-ACP synthase	
G1G1K-8625-MONOMER	G1G1K-8625		spermidine/putrescine ABC transporter substrate-binding protein	
G1G1K-1263-MONOMER	G1G1K-1263	C3K6E9	hypothetical protein	
G1G1K-3344-MONOMER	G1G1K-3344		sigma-54-dependent Fis family transcriptional regulator	
G1G1K-9435-MONOMER	G1G1K-9435		D-hexose-6-phosphate mutarotase	
G1G1K-2108-MONOMER	G1G1K-2108		hypothetical protein	
G1G1K-4977-MONOMER	G1G1K-4977	C3KC71	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase	HpaE
G1G1K-2076-MONOMER	G1G1K-2076		CoA transferase	
G1G1K-5618-MONOMER	G1G1K-5618	C3JXS6	TonB-dependent receptor	
G1G1K-1469-MONOMER	G1G1K-1469	C3K4P0	hypothetical protein	
G1G1K-9113-MONOMER	G1G1K-9113		alpha/beta hydrolase	
G1G1K-4155-MONOMER	G1G1K-4155	C3K9N5	acetoacetyl-CoA synthetase	
G1G1K-8413-MONOMER	G1G1K-8413		gamma-glutamyl-phosphate reductase	
G1G1K-3606-MONOMER	G1G1K-3606		flavin reductase	
G1G1K-4717-MONOMER	G1G1K-4717	C3KAC3	crotonase	
G1G1K-917-MONOMER	G1G1K-917	C3K6W3	tRNA dihydrouridine synthase DusB	
G1G1K-542-MONOMER	G1G1K-542		amino acid ABC transporter substrate-binding protein	
G1G1K-4774-MONOMER	G1G1K-4774	C3KB89	AraC family transcriptional regulator	
G1G1K-4476-MONOMER	G1G1K-4476	C3K9Z8	hypothetical protein	
G1G1K-6368-MONOMER	G1G1K-6368	C3JZP1	hypothetical protein	
G1G1K-1740-MONOMER	G1G1K-1740		hypothetical protein	
G1G1K-8086-MONOMER	G1G1K-8086		polynucleotide adenylyltransferase PcnB	
G1G1K-1805-MONOMER	G1G1K-1805	C3KEC1	hypothetical protein	
G1G1K-6162-MONOMER	G1G1K-6162		iron ABC transporter permease	
G1G1K-7521-MONOMER	G1G1K-7521	C3JYR6	quinolinate synthetase	
G1G1K-5153-MONOMER	G1G1K-5153	C3KD18	malto-oligosyltrehalose trehalohydrolase	TreZ
G1G1K-172-MONOMER	G1G1K-172		GntR family transcriptional regulator	
G1G1K-6720-MONOMER	G1G1K-6720		amino acid ABC transporter substrate-binding protein	
G1G1K-1147-MONOMER	G1G1K-1147		23S rRNA pseudouridine(1911/1915/1917) synthase	
G1G1K-5342-MONOMER	G1G1K-5342		cupin	
G1G1K-2675-MONOMER	G1G1K-2675	C3K5M5	LysR family transcriptional regulator	
G1G1K-7133-MONOMER	G1G1K-7133		PLP-dependent aminotransferase family protein	
G1G1K-9228-MONOMER	G1G1K-9228		exopolyphosphatase	Ppx
G1G1K-4542-MONOMER	G1G1K-4542		hypothetical protein	
G1G1K-5232-MONOMER	G1G1K-5232		reductase	
G1G1K-6721-MONOMER	G1G1K-6721	C3K0F5	TetR family transcriptional regulator	
G1G1K-918-MONOMER	G1G1K-918	C3K6W4	hypothetical protein	
G1G1K-9544-MONOMER	G1G1K-9544	C3K1E4	bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase	GlmU
G1G1K-2890-MONOMER	G1G1K-2890	C3K508	ubiquinol oxidase subunit II, cyanide insensitive	CydB
G1G1K-6369-MONOMER	G1G1K-6369		hypothetical protein	
G1G1K-3389-MONOMER	G1G1K-3389	C3K950	hybrid sensor histidine kinase/response regulator	
G1G1K-5449-MONOMER	G1G1K-5449	C3K7X1	diguanylate cyclase	
G1G1K-543-MONOMER	G1G1K-543		amino acid ABC transporter substrate-binding protein	
G1G1K-3783-MONOMER	G1G1K-3783		alkaline phosphatase	
G1G1K-8298-MONOMER	G1G1K-8298		TetR family transcriptional regulator	
G1G1K-5520-MONOMER	G1G1K-5520	C3JXJ8	N-acetyltransferase	
G1G1K-4262-MONOMER	G1G1K-4262		nuclear transport factor 2 family protein	
G1G1K-8993-MONOMER	G1G1K-8993		tRNA (guanosine(46)-N7)-methyltransferase TrmB	
G1G1K-4316-MONOMER	G1G1K-4316	C3KAT2	two-component sensor histidine kinase	
G1G1K-4864-MONOMER	G1G1K-4864	C3KBP7	helicase UvrD	
G1G1K-7524-MONOMER	G1G1K-7524	C3JYR7	fatty acid transporter membrane protein	
G1G1K-173-MONOMER	G1G1K-173	C3K801	taurine dioxygenase	
G1G1K-9440-MONOMER	G1G1K-9440		DUF3299 domain-containing protein	
G1G1K-1996-MONOMER	G1G1K-1996		aromatic acid/H+ symport family MFS transporter	
G1G1K-2270-MONOMER	G1G1K-2270	C3K4V2	allophanate hydrolase	
G1G1K-1392-MONOMER	G1G1K-1392		UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	
G1G1K-4385-MONOMER	G1G1K-4385	C3KAX6	N-acetyltransferase	
G1G1K-3512-MONOMER	G1G1K-3512	C3K8E8	MFS transporter	
G1G1K-3669-MONOMER	G1G1K-3669	C3K975	glutathione S-transferase family protein	
G1G1K-6722-MONOMER	G1G1K-6722	C3K0F6	DUF1446 domain-containing protein	
G1G1K-2343-MONOMER	G1G1K-2343	C3K5H3	chromosome segregation ATPase	
G1G1K-6370-MONOMER	G1G1K-6370	C3JZP3	nucleoside hydrolase	
G1G1K-7136-MONOMER	G1G1K-7136	C3K0K2	membrane protein	
G1G1K-1876-MONOMER	G1G1K-1876	C3K6G9	lipid-A-disaccharide synthase	
G1G1K-919-MONOMER	G1G1K-919		50S ribosomal protein L11 methyltransferase	
G1G1K-4071-MONOMER	G1G1K-4071	C3K9I1	hypothetical protein	
G1G1K-3164-MONOMER	G1G1K-3164	C3K676	hypothetical protein	
G1G1K-8011-MONOMER	G1G1K-8011	C3K1Z8	muconolactone delta-isomerase	CatC
G1G1K-8626-MONOMER	G1G1K-8626		spermidine/putrescine ABC transporter ATP-binding protein	
G1G1K-5910-MONOMER	G1G1K-5910		K+/H+ antiporter subunit F	
G1G1K-544-MONOMER	G1G1K-544		amino acid ABC transporter permease	
G1G1K-1774-MONOMER	G1G1K-1774		gamma-aminobutyraldehyde dehydrogenase	
G1G1K-2526-MONOMER	G1G1K-2526		hypothetical protein	
G1G1K-1332-MONOMER	G1G1K-1332	C3KAK1	hypothetical protein	
G1G1K-5818-MONOMER	G1G1K-5818	C3JY56	ATPase AAA	
G1G1K-2077-MONOMER	G1G1K-2077		hydroxymethylglutaryl-CoA lyase	
G1G1K-8846-MONOMER	G1G1K-8846		MFS transporter	
G1G1K-174-MONOMER	G1G1K-174		nitrate ABC transporter substrate-binding protein	
G1G1K-9234-MONOMER	G1G1K-9234	C3K402	RNA degradosome polyphosphate kinase	
G1G1K-3070-MONOMER	G1G1K-3070		MFS transporter	
G1G1K-6163-MONOMER	G1G1K-6163	C3JYZ6	ABC transporter permease	
G1G1K-4814-MONOMER	G1G1K-4814	C3KBC5	sugar ABC transporter lipoprotein	
G1G1K-6371-MONOMER	G1G1K-6371	C3JZP4	D-ribose pyranase	
G1G1K-922-MONOMER	G1G1K-922		acetyl-CoA carboxylase biotin carboxylase subunit	AccC
G1G1K-2948-MONOMER	G1G1K-2948	C3K6Q2	nodulation protein NfeD	
G1G1K-5778-MONOMER	G1G1K-5778	C3JY30	biopolymer transporter ExbD	
G1G1K-7137-MONOMER	G1G1K-7137		hypothetical protein	
G1G1K-7528-MONOMER	G1G1K-7528		7-cyano-7-deazaguanine synthase	QueC
G1G1K-5172-MONOMER	G1G1K-5172	C3KD35	MFS transporter	
G1G1K-8299-MONOMER	G1G1K-8299		4-hydroxyphenylpyruvate dioxygenase	
G1G1K-9114-MONOMER	G1G1K-9114	C3K3T0	thiol-disulfide isomerase	
G1G1K-6723-MONOMER	G1G1K-6723	C3K0F7	2,4-dienoyl-CoA reductase	
G1G1K-2407-MONOMER	G1G1K-2407		LysR family transcriptional regulator	
G1G1K-545-MONOMER	G1G1K-545	C3K820	amino acid ABC transporter ATP-binding protein	
G1G1K-4649-MONOMER	G1G1K-4649		hypothetical protein	
G1G1K-6165-MONOMER	G1G1K-6165	C3JYZ7	ABC transporter ATP-binding protein	
G1G1K-2973-MONOMER	G1G1K-2973		pili assembly chaperone	
G1G1K-1148-MONOMER	G1G1K-1148	C3KE85	multi-copper polyphenol oxidoreductase	
G1G1K-1708-MONOMER	G1G1K-1708		hypothetical protein	
G1G1K-9235-MONOMER	G1G1K-9235	C3K403	porphobilinogen synthase	
G1G1K-175-MONOMER	G1G1K-175	C3K8S0	sulfonate ABC transporter ATP-binding lipoprotein	
G1G1K-9441-MONOMER	G1G1K-9441		GlsB/YeaQ/YmgE family stress response membrane protein	
G1G1K-1264-MONOMER	G1G1K-1264		5-dehydro-4-deoxyglucarate dehydratase	KdgD
G1G1K-8627-MONOMER	G1G1K-8627		DNA-binding response regulator	
G1G1K-923-MONOMER	G1G1K-923		acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	AccB
G1G1K-2125-MONOMER	G1G1K-2125	C3KE22	hypothetical protein	
G1G1K-6372-MONOMER	G1G1K-6372	C3JZP5	ribokinase	RbsK
G1G1K-7138-MONOMER	G1G1K-7138	C3K0K4	ABC transporter substrate-binding protein	
G1G1K-7529-MONOMER	G1G1K-7529	C3JYR9	7-carboxy-7-deazaguanine synthase QueE	
G1G1K-2918-MONOMER	G1G1K-2918		transcriptional regulator	
G1G1K-8416-MONOMER	G1G1K-8416	C3K2N0	3-methyladenine DNA glycosylase	
G1G1K-8087-MONOMER	G1G1K-8087	C3K246	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	FolK
G1G1K-6724-MONOMER	G1G1K-6724	C3K0F8	acetyl-CoA carboxylase carboxyltransferase subunit	
G1G1K-1632-MONOMER	G1G1K-1632		LysR family transcriptional regulator	
G1G1K-7530-MONOMER	G1G1K-7530	C3JYS0	tol-pal system protein YbgF	YgbF
G1G1K-548-MONOMER	G1G1K-548	C3K821	methyl-accepting chemotaxis protein	
G1G1K-5451-MONOMER	G1G1K-5451		outer membrane porin, OprD family	
G1G1K-2221-MONOMER	G1G1K-2221	C3K4T6	LysR family transcriptional regulator	
G1G1K-4930-MONOMER	G1G1K-4930		taurine catabolism dioxygenase TauD	
G1G1K-4263-MONOMER	G1G1K-4263		cell division protein ZapE	
G1G1K-3416-MONOMER	G1G1K-3416	C3KAQ4	AraC family transcriptional regulator	
G1G1K-1519-MONOMER	G1G1K-1519		nucleoid-associated protein YejK	
G1G1K-4497-MONOMER	G1G1K-4497	C3KA19	hypothetical protein	
G1G1K-924-MONOMER	G1G1K-924		3-dehydroquinate dehydratase	AroQ
G1G1K-5971-MONOMER	G1G1K-5971	C3JYH4	SCPU domain-containing protein	
G1G1K-5521-MONOMER	G1G1K-5521	C3JXJ9	N-acetyltransferase	
G1G1K-6373-MONOMER	G1G1K-6373	C3JZP6	LacI family transcriptional regulator	
G1G1K-176-MONOMER	G1G1K-176		ABC transporter permease	
G1G1K-1444-MONOMER	G1G1K-1444		glycosyl transferase	
G1G1K-4569-MONOMER	G1G1K-4569	C3KB02	hypothetical protein	
G1G1K-6725-MONOMER	G1G1K-6725	C3K0F9	acyl-CoA dehydrogenase	
G1G1K-2311-MONOMER	G1G1K-2311		hypothetical protein	
G1G1K-3916-MONOMER	G1G1K-3916		hypothetical protein	
G1G1K-6166-MONOMER	G1G1K-6166		histidine phosphatase family protein	
G1G1K-8300-MONOMER	G1G1K-8300	C3K2H0	MFS transporter	
G1G1K-3165-MONOMER	G1G1K-3165	C3K677	lipase	
G1G1K-2971-MONOMER	G1G1K-2971	C3K775	integrating conjugative element protein	
G1G1K-4865-MONOMER	G1G1K-4865	C3KBP8	pirin family protein	
G1G1K-5911-MONOMER	G1G1K-5911		Na+/H+ antiporter subunit G	
G1G1K-4160-MONOMER	G1G1K-4160	C3K9N6	3-hydroxybutyrate dehydrogenase	
G1G1K-549-MONOMER	G1G1K-549	C3K8T5	methyl-accepting chemotaxis protein	
G1G1K-2078-MONOMER	G1G1K-2078		MFS transporter	
G1G1K-7139-MONOMER	G1G1K-7139	C3K0K5	electron transfer flavoprotein subunit alpha	
G1G1K-9236-MONOMER	G1G1K-9236		DedA family protein	
G1G1K-1595-MONOMER	G1G1K-1595	C3K7I4	hypothetical protein	
G1G1K-7531-MONOMER	G1G1K-7531		peptidoglycan-associated lipoprotein	Pal
G1G1K-5233-MONOMER	G1G1K-5233		methyl-accepting chemotaxis protein	
G1G1K-929-MONOMER	G1G1K-929		methyl-accepting chemotaxis protein	
G1G1K-6029-MONOMER	G1G1K-6029	C3JYK3	D-alanyl-D-alanine endopeptidase	
G1G1K-3345-MONOMER	G1G1K-3345	C3K8C2	alkanesulfonate monooxygenase	
G1G1K-8628-MONOMER	G1G1K-8628	C3K319	ABC transporter substrate-binding protein	
G1G1K-6726-MONOMER	G1G1K-6726	C3K0G0	enoyl-CoA hydratase	
G1G1K-177-MONOMER	G1G1K-177	C3K8S2	hypothetical protein	
G1G1K-6374-MONOMER	G1G1K-6374		ABC transporter permease	
G1G1K-4002-MONOMER	G1G1K-4002	C3K9F8	formylglycine-generating enzyme family protein	
G1G1K-8088-MONOMER	G1G1K-8088	Q9ZEP8	3-methyl-2-oxobutanoate hydroxymethyltransferase	PanB
G1G1K-2587-MONOMER	G1G1K-2587		protease HtpX	
G1G1K-3075-MONOMER	G1G1K-3075	C3K916	metal ABC transporter substrate-binding protein	
G1G1K-4775-MONOMER	G1G1K-4775	C3KB90	2-keto-4-pentenoate hydratase	
G1G1K-9442-MONOMER	G1G1K-9442		5-(carboxyamino)imidazole ribonucleotide synthase	
G1G1K-2649-MONOMER	G1G1K-2649	C3K4Z9	aminodeoxychorismate synthase, component I	PabB
G1G1K-9545-MONOMER	G1G1K-9545		ATP synthase epsilon chain	
G1G1K-930-MONOMER	G1G1K-930	C3K6X0	diguanylate cyclase	
G1G1K-4650-MONOMER	G1G1K-4650		cytochrome c	
G1G1K-550-MONOMER	G1G1K-550	C3K8T6	16S rRNA (uracil(1498)-N(3))-methyltransferase	
G1G1K-5344-MONOMER	G1G1K-5344	C3KCK5	3-methyladenine DNA glycosylase	
G1G1K-1470-MONOMER	G1G1K-1470	C3K4P1	hypothetical protein	
G1G1K-6375-MONOMER	G1G1K-6375	C3JZP8	sugar ABC transporter ATP-binding protein	
G1G1K-7140-MONOMER	G1G1K-7140		electron transfer flavoprotein subunit beta	
G1G1K-4543-MONOMER	G1G1K-4543		restriction endonuclease or methylase	
G1G1K-4264-MONOMER	G1G1K-4264		N-acetyltransferase	
G1G1K-8492-MONOMER	G1G1K-8492		DUF3299 domain-containing protein	
G1G1K-5713-MONOMER	G1G1K-5713		carbohydrate ABC transporter substrate-binding protein	
G1G1K-5525-MONOMER	G1G1K-5525	C3JXK0	N-acetyltransferase	
G1G1K-1265-MONOMER	G1G1K-1265		aldehyde dehydrogenase family protein	
G1G1K-2001-MONOMER	G1G1K-2001		3-oxoadipate--succinyl-CoA transferase subunit A	
G1G1K-4110-MONOMER	G1G1K-4110	C3K9K3	DUF3995 domain-containing protein	
G1G1K-6729-MONOMER	G1G1K-6729	C3K0G1	3-methylcrotonyl-CoA carboxylase subunit alpha	
G1G1K-7532-MONOMER	G1G1K-7532		translocation protein TolB	TolB
G1G1K-178-MONOMER	G1G1K-178	C3K8S3	LysR family transcriptional regulator	
G1G1K-8994-MONOMER	G1G1K-8994		thiazole synthase	
G1G1K-4978-MONOMER	G1G1K-4978	C3KC72	3,4-dihydroxyphenylacetate 2,3-dioxygenase	HpaD
G1G1K-7143-MONOMER	G1G1K-7143		electron transfer flavoprotein-ubiquinone oxidoreductase	
G1G1K-6167-MONOMER	G1G1K-6167	C3JYZ9	4-amino-4-deoxy-L-arabinose lipid A transferase	
G1G1K-3580-MONOMER	G1G1K-3580		aminomethyltransferase	
G1G1K-2748-MONOMER	G1G1K-2748		dienelactone hydrolase family protein	
G1G1K-2677-MONOMER	G1G1K-2677	C3K5M6	addiction module toxin, HicA family	
G1G1K-4910-MONOMER	G1G1K-4910		acyl carrier protein	
